"country","region","country_name"
"ABW","Latin America & Caribbean","Aruba"
"AFG","South Asia","Afghanistan"
"AGO","Sub-Saharan Africa","Angola"
"ALB","Europe & Central Asia","Albania"
"AND","Europe & Central Asia","Andorra"
"ARE","Middle East & North Africa","United Arab Emirates"
"ARG","Latin America & Caribbean","Argentina"
"ARM","Europe & Central Asia","Armenia"
"ASM","East Asia & Pacific","American Samoa"
"ATG","Latin America & Caribbean","Antigua and Barbuda"
"AUS","East Asia & Pacific","Australia"
"AUT","Europe & Central Asia","Austria"
"AZE","Europe & Central Asia","Azerbaijan"
"BDI","Sub-Saharan Africa","Burundi"
"BEL","Europe & Central Asia","Belgium"
"BEN","Sub-Saharan Africa","Benin"
"BFA","Sub-Saharan Africa","Burkina Faso"
"BGD","South Asia","Bangladesh"
"BGR","Europe & Central Asia","Bulgaria"
"BHR","Middle East & North Africa","Bahrain"
"BHS","Latin America & Caribbean","Bahamas, The"
"BIH","Europe & Central Asia","Bosnia and Herzegovina"
"BLR","Europe & Central Asia","Belarus"
"BLZ","Latin America & Caribbean","Belize"
"BMU","North America","Bermuda"
"BOL","Latin America & Caribbean","Bolivia"
"BRA","Latin America & Caribbean","Brazil"
"BRB","Latin America & Caribbean","Barbados"
"BRN","East Asia & Pacific","Brunei Darussalam"
"BTN","South Asia","Bhutan"
"BWA","Sub-Saharan Africa","Botswana"
"CAF","Sub-Saharan Africa","Central African Republic"
"CAN","North America","Canada"
"CHE","Europe & Central Asia","Switzerland"
"CHI","Europe & Central Asia","Channel Islands"
"CHL","Latin America & Caribbean","Chile"
"CHN","East Asia & Pacific","China"
"CIV","Sub-Saharan Africa","Côte d'Ivoire"
"CMR","Sub-Saharan Africa","Cameroon"
"COD","Sub-Saharan Africa","Congo, Dem. Rep."
"COG","Sub-Saharan Africa","Congo, Rep."
"COL","Latin America & Caribbean","Colombia"
"COM","Sub-Saharan Africa","Comoros"
"CPV","Sub-Saharan Africa","Cabo Verde"
"CRI","Latin America & Caribbean","Costa Rica"
"CUB","Latin America & Caribbean","Cuba"
"CUW","Latin America & Caribbean","Curaçao"
"CYM","Latin America & Caribbean","Cayman Islands"
"CYP","Europe & Central Asia","Cyprus"
"CZE","Europe & Central Asia","Czech Republic"
"DEU","Europe & Central Asia","Germany"
"DJI","Middle East & North Africa","Djibouti"
"DMA","Latin America & Caribbean","Dominica"
"DNK","Europe & Central Asia","Denmark"
"DOM","Latin America & Caribbean","Dominican Republic"
"DZA","Middle East & North Africa","Algeria"
"ECU","Latin America & Caribbean","Ecuador"
"EGY","Middle East & North Africa","Egypt, Arab Rep."
"ERI","Sub-Saharan Africa","Eritrea"
"ESP","Europe & Central Asia","Spain"
"EST","Europe & Central Asia","Estonia"
"ETH","Sub-Saharan Africa","Ethiopia"
"FIN","Europe & Central Asia","Finland"
"FJI","East Asia & Pacific","Fiji"
"FRA","Europe & Central Asia","France"
"FRO","Europe & Central Asia","Faroe Islands"
"FSM","East Asia & Pacific","Micronesia, Fed. Sts."
"GAB","Sub-Saharan Africa","Gabon"
"GBR","Europe & Central Asia","United Kingdom"
"GEO","Europe & Central Asia","Georgia"
"GHA","Sub-Saharan Africa","Ghana"
"GIB","Europe & Central Asia","Gibraltar"
"GIN","Sub-Saharan Africa","Guinea"
"GMB","Sub-Saharan Africa","Gambia, The"
"GNB","Sub-Saharan Africa","Guinea-Bissau"
"GNQ","Sub-Saharan Africa","Equatorial Guinea"
"GRC","Europe & Central Asia","Greece"
"GRD","Latin America & Caribbean","Grenada"
"GRL","Europe & Central Asia","Greenland"
"GTM","Latin America & Caribbean","Guatemala"
"GUM","East Asia & Pacific","Guam"
"GUY","Latin America & Caribbean","Guyana"
"HKG","East Asia & Pacific","Hong Kong SAR, China"
"HND","Latin America & Caribbean","Honduras"
"HRV","Europe & Central Asia","Croatia"
"HTI","Latin America & Caribbean","Haiti"
"HUN","Europe & Central Asia","Hungary"
"IDN","East Asia & Pacific","Indonesia"
"IMN","Europe & Central Asia","Isle of Man"
"IND","South Asia","India"
"IRL","Europe & Central Asia","Ireland"
"IRN","Middle East & North Africa","Iran, Islamic Rep."
"IRQ","Middle East & North Africa","Iraq"
"ISL","Europe & Central Asia","Iceland"
"ISR","Middle East & North Africa","Israel"
"ITA","Europe & Central Asia","Italy"
"JAM","Latin America & Caribbean","Jamaica"
"JOR","Middle East & North Africa","Jordan"
"JPN","East Asia & Pacific","Japan"
"KAZ","Europe & Central Asia","Kazakhstan"
"KEN","Sub-Saharan Africa","Kenya"
"KGZ","Europe & Central Asia","Kyrgyz Republic"
"KHM","East Asia & Pacific","Cambodia"
