"country","year","corruption_index","homicide_rate","GDP","total_fisheries_per_ton","total_military","population","unemployment_rate","totalgr","industryofgdp"
"ABW",1993,NA,NA,14936.8272187795,260,NA,72504,NA,NA,NA
"ABW",1994,NA,NA,16241.0465209443,260,NA,76700,NA,NA,NA
"ABW",1995,NA,7.4697475225,16439.3563609282,140,NA,80324,NA,NA,0.153986419309119
"ABW",1996,NA,NA,16586.0684357542,160,NA,83200,NA,0.31582995951417,0.149866606211009
"ABW",1997,NA,NA,17927.7496352086,205,NA,85451,NA,0.279613420860686,0.171327192233916
"ABW",1998,NA,NA,19078.3431907515,182,NA,87277,NA,0.271855082187186,0.175136636772655
"ABW",1999,NA,2.2469637902,19356.2033894901,175,NA,89005,NA,0.291309987029831,0.15549271842299
"ABW",2000,NA,NA,20620.7006259175,163,NA,90853,NA,0.275142771265404,0.158253515750802
"ABW",2001,NA,4.3060758731,20669.0319688645,163,NA,92898,NA,0.265960576640188,0.159113471050335
"ABW",2002,NA,5.2636011454,20436.8871286309,163,NA,94992,NA,0.262496346097632,0.152834244604317
"ABW",2003,NA,4.1230312526,20833.7616116694,160,NA,97017,NA,0.327968262964012,0.167927031509121
"ABW",2004,NA,2.0254395204,22569.9749851801,162,NA,98737,NA,0.251014764542033,0.175977187264979
"ABW",2005,NA,5.9983204703,23300.0395575696,162,NA,100031,NA,0.255698022768125,0.185044103547459
"ABW",2006,NA,4.9588416146,24045.2724833547,145,NA,100834,NA,0.272265805260729,0.195727649769585
"ABW",2007,NA,2.9636654614,25835.1326676284,159,NA,101222,NA,0.263586030664395,0.189801110873745
"ABW",2008,NA,4.9328150589,27084.7036903653,151,NA,101358,NA,0.273327731092437,0.180314000814001
"ABW",2009,NA,3.9427512518,24630.4537141023,163,NA,101455,NA,0.248,0.16175408003577
"ABW",2010,NA,3.9344907294,23512.6025956397,153,NA,101669,NA,0.277,NA
"ABW",2011,NA,1.9598236159,24985.9932813737,168,NA,102046,NA,0.215,NA
"ABW",2012,NA,3.8999658753,24713.6980451285,138,NA,102560,NA,0.224406071271447,NA
"ABW",2013,NA,5.8159259439,26189.4355088129,142,NA,103159,NA,0.246733491583945,NA
"ABW",2014,NA,1.9272278754,26647.938100985,142,NA,103774,NA,0.235715791693021,NA
"ABW",2015,NA,NA,27980.8806952751,142,NA,104341,NA,0.262972187629722,NA
"ABW",2016,NA,NA,28281.35048163,142,NA,104872,NA,0.265769554247267,NA
"ABW",2017,NA,NA,29007.6930034887,NA,NA,105366,NA,0.253597497393118,NA
"ABW",2018,NA,NA,NA,NA,NA,105845,NA,0.256730007917656,NA
"ABW",2019,NA,NA,NA,NA,NA,106314,NA,NA,NA
"ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1993,NA,NA,NA,1500,45000,15816603,11.4420003890991,NA,NA
"AFG",1994,NA,NA,NA,1600,45000,17075727,11.4700002670288,NA,NA
"AFG",1995,NA,NA,NA,1600,383000,18110657,11.4770002365112,NA,NA
"AFG",1996,NA,NA,NA,1600,429000,18853437,11.4989995956421,NA,NA
"AFG",1997,NA,NA,NA,1550,429000,19357126,11.4799995422363,NA,NA
"AFG",1998,NA,NA,NA,1500,400000,19737765,11.4720001220703,NA,NA
"AFG",1999,NA,NA,NA,1500,400000,20170844,11.5469999313354,NA,NA
"AFG",2000,NA,NA,NA,1300,400000,20779953,11.5170001983643,NA,NA
"AFG",2001,NA,NA,NA,1250,NA,21606988,11.5129995346069,NA,NA
"AFG",2002,NA,NA,179.426610967229,1350,120000,22600770,11.5959997177124,0.0855607643939224,0.238101270064854
"AFG",2003,NA,NA,190.683814295088,1350,130000,23680871,11.6040000915527,0.120955036111048,0.227108641828326
"AFG",2004,NA,NA,211.382116942655,1450,27000,24726684,11.5279998779297,0.176214792912798,0.262267897500666
"AFG",2005,2.5,NA,242.031284871985,1450,27000,25654277,11.4289999008179,0.180929295961748,0.268120992326398
"AFG",2006,NA,NA,263.733691663044,1450,51000,26433049,11.2239999771118,0.198414708521906,0.282107680719994
"AFG",2007,1.8,NA,359.693237501395,2050,51000,27100536,11.0459995269775,0.204906111919648,0.268822416082148
"AFG",2008,1.5,NA,364.6607447985,2050,94000,27722276,10.9849996566772,0.184655920024096,0.269156280026285
"AFG",2009,1.3,3.9267744953,438.076034406941,2050,255745,28394813,11.3870000839233,0.216651918302085,0.218971222069406
"AFG",2010,1.4,3.3681096075,543.303041863931,2050,306800,29185507,11.4840002059937,0.231065730252403,0.211514206977128
"AFG",2011,1.5,4.0873367236,591.162759035926,2050,340350,30117413,11.4879999160767,0.228188381419228,0.227402524820273
"AFG",2012,8,6.2513281666,641.871479157539,2050,338150,31161376,11.5080003738403,0.221095452096184,0.211578071539751
"AFG",2013,8,NA,637.165523187024,2050,330650,32269589,11.5340003967285,0.271053618868455,0.204446053132561
"AFG",2014,12,NA,613.856689167623,2100,308800,33370794,11.4479999542236,0.235595980698201,0.212296632181805
"AFG",2015,11,9.7839217823,578.466352941708,2150,319400,34413603,11.3870000839233,0.24489613422501,0.221240424906926
"AFG",2016,15,6.5511634561,547.228110150363,2200,323000,35383128,11.3129997253418,0.270196674668072,0.218232227792274
"AFG",2017,15,6.6784014409,556.30200240406,NA,323000,36296400,11.1840000152588,0.252605758253534,0.221276696065895
"AFG",2018,16,6.6555611518,524.162880925404,NA,NA,37172386,11.0570001602173,NA,0.222799116026365
"AFG",2019,16,NA,502.115486913067,NA,NA,38041754,11.1180000305176,NA,0.220890533136954
"AGO",1993,NA,NA,441.200673252825,126200,128000,13075049,3.80399990081787,NA,NA
"AGO",1994,NA,NA,328.673294707808,132413,120000,13503747,3.81599998474121,NA,NA
"AGO",1995,NA,NA,397.179450769472,122781,122000,13945206,3.81900000572205,NA,0.602851757873636
"AGO",1996,NA,NA,522.643807265256,137815,106400,14400719,3.8289999961853,NA,0.678206759362436
"AGO",1997,NA,NA,514.295223223424,146304,125500,14871570,3.82100009918213,NA,0.60757741389497
"AGO",1998,NA,NA,423.59366023208,163149,129000,15359601,3.81800007820129,NA,0.551572893027623
"AGO",1999,NA,NA,387.784316047502,175799,127500,15866869,3.84999990463257,0.414246262260737,0.727173723137849
"AGO",2000,1.7,NA,556.836318086553,239356,117500,16395473,3.83699989318848,0.428120373178259,0.721229549419033
"AGO",2001,NA,NA,527.333528536691,254564,145500,16945753,3.83500003814697,0.388239978762941,0.648838115415289
"AGO",2002,1.7,NA,872.494491592841,255494,110000,17519417,3.87100005149841,0.286751279334521,0.560757965388459
"AGO",2003,1.8,NA,982.960899291112,212105,130000,18121479,3.875,0.29715412283474,0.531169963887799
"AGO",2004,2,NA,1255.56404471491,240094,118000,18758145,3.84200000762939,0.309874616913248,0.546299213113549
"AGO",2005,2,NA,1902.42234554625,202742,118000,19433602,3.79999995231628,0.336959051623815,0.604019934569532
"AGO",2006,2.2,NA,2599.56646397608,225897,110000,20149901,3.71199989318848,0.400236593059937,0.58109331166465
"AGO",2007,2.2,NA,3121.99563726236,306626,117000,20905363,3.63700008392334,0.424401858443494,0.618835378515421
"AGO",2008,1.9,NA,4080.94140992346,306050,117000,21695634,3.61199998855591,0.484243642138379,0.602548201250717
"AGO",2009,1.9,NA,3122.78076649385,272302,117000,22514281,3.78200006484985,0.371144667529683,0.440563761691749
"AGO",2010,1.9,NA,3587.88379824396,310310,117000,23356246,9.43000030517578,0.427830399979225,0.523684348885467
"AGO",2011,2,4.3557855153,4615.46802807906,342310,117000,24220661,7.36199998855591,0.454816425958057,0.56026514743024
"AGO",2012,22,4.8470751765,5100.09580809767,374310,117000,25107931,7.37900018692017,0.41341682379069,0.569182197485493
"AGO",2013,23,NA,5254.88233799616,407057,117000,26015780,7.40000009536743,0.367487684729064,0.533628539821467
"AGO",2014,19,NA,5408.41049555432,442389,117000,26941779,7.33099985122681,0.307389209333238,0.462033255675024
"AGO",2015,15,NA,4166.97968386501,496104,117000,27884381,7.28200006484985,0.241356989711325,0.419330926455315
"AGO",2016,18,NA,3506.07288506966,487145,117000,28842484,7.22300004959106,0.175231138935936,0.42643566778715
"AGO",2017,19,NA,4095.81294155857,NA,117000,29816748,7.11899995803833,0.174856753675545,0.421679535486771
"AGO",2018,19,NA,3289.64666408633,NA,NA,30809762,7.01900005340576,NA,0.479315416320186
"AGO",2019,26,NA,2973.59115979868,NA,NA,31825295,6.88600015640259,NA,NA
"ALB",1993,NA,5.9777240582,367.279225077581,2889,65000,3227287,16.4780006408691,NA,NA
"ALB",1994,NA,3.5594902047,586.416339644261,2495,65000,3207536,16.511999130249,NA,NA
"ALB",1995,NA,8.3201544015,750.604449178826,1720.3,86500,3187784,16.5219993591309,NA,NA
"ALB",1996,NA,8.7778774253,1009.97766752106,2449.2,67500,3168033,16.5499992370605,NA,0.173736634617993
"ALB",1997,NA,43.035770339,717.380567391734,1110.8,67500,3148281,16.5249996185303,0.177584479240864,0.181095774942395
"ALB",1998,NA,21.217096222,813.790263555599,2807.5,67500,3128530,16.5160007476807,0.258933397081445,0.153468920399073
"ALB",1999,NA,17.036538893,1033.2416930932,3057.9,67500,3108778,16.6110000610352,0.272835069906266,0.165364476370761
"ALB",2000,NA,4.1863119742,1126.68331762741,3635,67500,3089027,16.5729999542236,0.251598666397978,0.193956456296929
"ALB",2001,NA,7.0294254946,1281.65939343074,3597.2,40500,3060173,16.5669994354248,0.246962901700065,0.217356604231714
"ALB",2002,2.5,6.9093843834,1425.12484888368,4516.8,27000,3051010,16.6730003356934,0.253229351967423,0.231063954130151
"ALB",2003,2.5,5.3238965663,1846.11881331912,4274.6,22000,3039616,16.6840000152588,0.246629228403896,0.240555827571712
"ALB",2004,2.5,4.2191470044,2373.57984371994,6118.5,21500,3026939,16.5860004425049,0.250252150053684,0.246655230886557
"ALB",2005,2.4,4.9889691947,2673.78728253113,6473,22500,3011487,16.4599990844727,0.252990311330339,0.250817044962801
"ALB",2006,2.6,3.1015131793,2972.74326462176,7709.3,11500,2992547,16.1959991455078,0.262361469198655,0.253081868713657
"ALB",2007,2.9,3.4607858357,3595.03716321514,7505.4,14500,2970017,15.9659996032715,0.260289627858384,0.253402998998185
"ALB",2008,3.4,3.0972300439,4370.54012699014,7365,14500,2947314,13.0600004196167,0.269452285980645,0.251610202705982
"ALB",2009,3.2,2.8590226044,4114.14011404922,8128,14745,2927519,13.673999786377,0.261323831644575,0.244136512883637
"ALB",2010,3.3,4.3079630492,4094.3503344202,7636.2,14745,2913021,14.0860004425049,0.261946767017977,0.249374670061949
"ALB",2011,3.1,4.8487315274,4437.14288515077,6827.2,14750,2905195,13.4809999465942,0.251984038277012,0.24484407516121
"ALB",2012,33,5.3876148686,4247.62998374252,10649.2,14750,2900401,13.3760004043579,0.24409836278362,0.229185139216065
"ALB",2013,31,4.2702841943,4413.06086120676,11078.5,8500,2895092,15.8660001754761,0.236273635183211,0.23061336904157
"ALB",2014,33,4.0396270147,4578.6319939825,11476.7,8500,2889104,17.4899997711182,0.262747025059037,0.215088578900509
"ALB",2015,36,2.214131417,3952.80121524465,9472.5,8500,2880703,17.0799999237061,0.264504760835721,0.217636624840832
"ALB",2016,39,2.7369477905,4124.05572595352,8835.7,8500,2876101,15.2200002670288,0.264543101124023,0.211419432555349
"ALB",2017,38,2.0109778588,4531.02080555986,NA,9000,2873457,13.75,0.277832059139555,0.203584082909885
"ALB",2018,36,2.2894924438,5284.38018438156,NA,NA,2866376,12.3400001525879,0.276597661400814,0.212840188389096
"ALB",2019,35,NA,5352.85741103671,NA,NA,2854191,12.331000328064,NA,0.200573246036816
"AND",1993,NA,NA,16516.4710272204,NA,NA,60971,NA,NA,NA
"AND",1994,NA,NA,16234.8090102012,NA,NA,62677,NA,NA,NA
"AND",1995,NA,NA,18461.0648581512,NA,NA,63850,NA,NA,NA
"AND",1996,NA,NA,19017.1745902241,NA,NA,64360,NA,NA,NA
"AND",1997,NA,NA,18353.0597218473,NA,NA,64327,NA,NA,NA
"AND",1998,NA,NA,18894.5214963227,NA,NA,64142,NA,NA,NA
"AND",1999,NA,NA,19261.7105038886,NA,NA,64370,NA,NA,NA
"AND",2000,NA,NA,21854.2468030614,NA,NA,65390,NA,NA,NA
"AND",2001,NA,NA,22971.535535508,NA,NA,67341,NA,NA,NA
"AND",2002,NA,NA,25066.8822109807,NA,NA,70049,NA,NA,NA
"AND",2003,NA,NA,32271.9639023596,NA,NA,73182,NA,NA,NA
"AND",2004,NA,1.311578616,37969.1749907994,NA,NA,76244,NA,NA,NA
"AND",2005,NA,NA,40066.2569185146,NA,NA,78867,NA,NA,NA
"AND",2006,NA,NA,42675.8127569297,NA,NA,80993,NA,NA,NA
"AND",2007,NA,0,47803.6936075266,NA,NA,82684,NA,NA,NA
"AND",2008,NA,1.1924494103,48718.4968691913,NA,NA,83862,NA,NA,NA
"AND",2009,NA,0,43503.1855156769,NA,NA,84463,NA,NA,NA
"AND",2010,NA,0,40852.6667774434,NA,NA,84449,NA,NA,NA
"AND",2011,NA,1.1940155938,43335.3288618283,NA,NA,83747,NA,NA,NA
"AND",2012,NA,0,38686.4612635075,NA,NA,82427,NA,NA,NA
"AND",2013,NA,0,39538.7667220426,NA,NA,80774,NA,NA,NA
"AND",2014,NA,0,41303.9293714464,NA,NA,79213,NA,NA,NA
"AND",2015,NA,0,35762.523073758,NA,NA,78011,NA,NA,NA
"AND",2016,NA,NA,37474.6654057245,NA,NA,77297,NA,NA,NA
"AND",2017,NA,NA,38962.8803536703,NA,NA,77001,NA,NA,NA
"AND",2018,NA,NA,41793.0552583729,NA,NA,77006,NA,NA,NA
"AND",2019,NA,NA,40886.3911648431,NA,NA,77142,NA,NA,NA
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARE",1993,NA,NA,25596.6922747864,99600,55000,2173139,1.91799998283386,NA,0.514799216454456
"ARE",1994,NA,NA,25847.9261239252,108600,60000,2294385,1.82000005245209,NA,0.462603750878466
"ARE",1995,NA,NA,27222.0358561647,105884,71000,2415090,1.79999995231628,NA,0.455451739211502
"ARE",1996,NA,NA,28975.0229000791,107000,65500,2539126,2,NA,0.463670023696682
"ARE",1997,NA,NA,29512.6637440248,114358,65500,2671362,2.03200006484985,NA,0.454284115017034
"ARE",1998,NA,NA,26899.601766231,114739,65500,2813214,2.09299993515015,NA,0.400235324596818
"ARE",1999,NA,NA,28470.8378632746,117607,65500,2966034,2.24300003051758,NA,0.420206625694073
"ARE",2000,NA,NA,33291.419366353,105456,66000,3134062,2.25,NA,0.485170116316395
"ARE",2001,NA,NA,31280.7842785952,112561,66000,3302719,2.41100001335144,NA,0.496763412859899
"ARE",2002,NA,NA,31567.4737120596,97574,41500,3478777,2.71499991416931,NA,0.475457475824448
"ARE",2003,5.2,1.2123070176,33499.0937513705,97450,50500,3711932,2.98799991607666,NA,0.491210129154604
"ARE",2004,6.1,0.66362268675,36333.2498445266,90570,50000,4068570,3.17600011825562,NA,0.516783480847693
"ARE",2005,6.2,1.2205163569,39365.4339019123,87325,51000,4588225,3.11999988555908,NA,0.556434763024807
"ARE",2006,6.2,0.73582517699,41907.405655968,101013,51000,5300174,2.70300006866455,NA,0.57903111718071
"ARE",2007,5.7,NA,41809.516382842,97097,51000,6168838,2.08100008964539,NA,0.54840228590251
"ARE",2008,5.9,NA,44498.9342301633,75418,51000,7089487,1.9559999704361,NA,0.580179784435584
"ARE",2009,6.5,NA,32024.1816031187,77835,51000,7917372,2.33100008964539,NA,0.52044956000368
"ARE",2010,6.3,0.7836259143,33893.303514039,79808,51000,8549988,2.53299999237061,NA,0.525308621988942
"ARE",2011,6.8,0.57003761578,39194.6766208456,75562,51000,8946777,2.49600005149841,NA,0.580355992952437
"ARE",2012,68,0.75479144893,40976.4997112455,73148,51000,9141596,2.5090000629425,0.399802279599907,0.57449131719203
"ARE",2013,69,0.61970613318,42412.6302780364,73780,63000,9197910,2.57599997520447,0.406792911137945,0.550061258140395
"ARE",2014,70,0.66202295548,43751.8388860721,73991,63000,9214175,2.21199989318848,0.350417420906168,0.527646083574634
"ARE",2015,70,0.64774558626,38663.3838066363,73790,63000,9262900,1.9099999666214,0.289982892986124,0.438938141693106
"ARE",2016,66,0.70505476192,38141.8467585492,74240.9,63000,9360980,1.6360000371933,0.288655862726406,0.414486936338511
"ARE",2017,71,0.4637824877,40644.804043392,NA,63000,9487203,2.46300005912781,0.291542036771496,0.425746249825366
"ARE",2018,70,NA,43839.3563491413,NA,NA,9630959,2.22900009155273,0.314077893179909,0.470329278969485
"ARE",2019,71,NA,43103.3230583165,NA,NA,9770529,2.34800004959106,NA,0.461603691427285
"ARG",1993,NA,NA,6969.11808781005,985251,65000,33970111,10.1000003814697,NA,0.27338739645861
"ARG",1994,NA,NA,7483.13968170844,1000460,69000,34402672,11.7600002288818,NA,0.267545586932878
"ARG",1995,5.24,NA,7408.70823818765,1176947,98500,34828170,18.7999992370605,NA,0.263012103355498
"ARG",1996,3.41,NA,7721.35454273963,1291387,103700,35246374,17.1100006103516,NA,0.265925606398683
"ARG",1997,2.81,NA,8213.12719994479,1390864,104240,35657429,14.8199996948242,NA,0.271791508883114
"ARG",1998,3,NA,8289.50572933118,1166429,104240,36063459,12.6499996185303,NA,0.267121357626278
"ARG",1999,NA,NA,7774.73620280001,1088144,101740,36467218,14.0500001907349,NA,0.261936304991129
