date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
1993-01-02,"NA",116.9667,19.7,"NA",Hong Kong - Luzon - Hainan,CHN,TWN,357.50237257241855,115.82595611500005,22.746643521000067,"NA",Mv Cosmic Leader,"NA","NA",mappingpiracy
1993-01-04,"NA",116,22.35,"NA",Hong Kong - Luzon - Hainan,CHN,CHN,47.43157252093151,115.82595611500005,22.746643521000067,"NA",Mv Tricolor Star III,"NA","NA",mappingpiracy
1993-01-06,"NA",115.25,19.67,"NA",Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.044867255000042,"NA",Mv Arktis Star,"NA","NA",mappingpiracy
1993-01-08,"NA",124.5833,29.9,"NA",East China Sea,CHN,CHN,209.92339619754955,122.40967858200008,29.91120026200008,"NA",Ussurijsk,"NA","NA",mappingpiracy
1993-01-12,"NA",120.2667,18.1333333,"NA",Hong Kong - Luzon - Hainan,PHL,PHL,22.027332077847085,120.47006269600001,18.091009833000044,"NA",Mv Chennai Nermai,"NA","NA",mappingpiracy
1993-01-13,"NA",101.85,9.7173,"NA",Gulf of Thailand. South China Sea,KHM,KHM,184.79664074717294,103.29216556100005,10.583156643000052,"NA",Emelyan Yaroslavskiy,"NA","NA",mappingpiracy
1993-01-25,"NA",106.8667,8.5666667,"NA",South China Sea,VNM,VNM,27.43734378248801,106.65577233200003,8.698879299000055,"NA",Mv Indira Ghandhi,"NA","NA",mappingpiracy
1993-01-26,"NA",123.5,29,"NA",East China Sea,CHN,CHN,141.5155642586203,122.39519290500004,29.833319403000075,"NA",Mt Petrobulk Panther,"NA","NA",mappingpiracy
1993-01-26,"NA",13.25,-8.8,"NA","Luanda, Angola",AGO,AGO,0.509215669071792,13.245371941000087,-8.80006275799991,"NA",Mv Bodrog,"NA",Anchored,mappingpiracy
1993-01-26,"NA",119.4,4.4333333,"NA",South China Sea,PHL,PHL,25.378587646219167,119.45655358200008,4.65570709800005,"NA",Mv Southern King,"NA","NA",mappingpiracy
1993-01-27,"NA",13.25,-8.8,"NA","Port of Luanda, Angola",AGO,AGO,0.509215669071792,13.245371941000087,-8.80006275799991,"NA","NA","NA","NA",mappingpiracy
1993-02-04,"NA",123.1667,25.75,"NA",East China Sea,"NA","NA",34.60225312662303,123.51148522200015,25.75808340100008,"NA",Sukhinichi,"NA","NA",mappingpiracy
1993-02-05,"NA",7.2267,5.0016667,"NA","Bonny Anchorage, Nigeria",NGA,NGA,31.946025339101165,7.071787957000083,4.75812409100007,"NA",Mv Norgas Navigator,"NA",Anchored,mappingpiracy
1993-02-06,"NA",118.1667,16.5833333,"NA",Hong Kong - Luzon - Hainan,PHL,PHL,174.73669588480044,119.75782311300009,16.21670156500005,"NA",Mv Hulpha Kluang,"NA","NA",mappingpiracy
1993-02-15,"NA",121.2995,38.6974,"NA",7.4 miles SE of Waglan. South China Sea,CHN,CHN,9.412733695661812,121.19849694100003,38.727850653000075,"NA",Mv Marine Peace,"NA","NA",mappingpiracy
1993-02-16,"NA",118.7167,19.3166667,"NA",Hong Kong - Luzon - Hainan,PHL,PHL,214.9032464638089,120.56080162900003,18.486761786000045,"NA",Mv Lion,"NA","NA",mappingpiracy
1993-02-16,"NA",39.3533,-6.775,"NA","Dar-Es-Salam Anchor, Tanzania",TZA,TZA,5.977859498251536,39.326508009000065,-6.82195403399993,"NA",Mv Socol 5,"NA","NA",mappingpiracy
1993-02-16,"NA",111.0333,17.3333333,"NA",Hong Kong - Luzon - Hainan,CHN,CHN,107.32752278973697,111.60287519600007,16.533351955000057,"NA",Mv Mary Nour,"NA","NA",mappingpiracy
1993-02-16,"NA",111.2,15.7833333,"NA","NA",VNM,VNM,0.47590149396464243,111.19629967500003,15.785711981000077,"NA",Mt Samuel L. Cobb,"NA","NA",mappingpiracy
1993-02-16,"NA",39.3533,-6.775,"NA","Dar-Es-Salam Roads, Tanzania",TZA,TZA,5.977859498251536,39.326508009000065,-6.82195403399993,"NA","NA","NA","NA",mappingpiracy
1993-02-18,"NA",115.25,19.67,"NA",Western Luzon. Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.044867255000042,"NA",Mv Aleksandr Tsyurupa,"NA","NA",mappingpiracy
1993-02-25,"NA",104.4,8.5166667,"NA",South China Sea,VNM,VNM,36.7996075652598,104.72291100400008,8.602687893000052,"NA",Mv Great Amity,"NA","NA",mappingpiracy
1993-02-25,"NA",124.4333,36.2,"NA",East China Sea,KOR,KOR,162.26266109885887,126.12891686300009,36.71190013200004,"NA",Mv Komsomolets,"NA","NA",mappingpiracy
1993-02-28,"NA",67.1457,24.7847,"NA","Base Creek, Anchor. Arabian Sea",PAK,PAK,1.2913772630500364,67.15601647200003,24.791571356000077,"NA",Mv Alam Sempurna,"NA",Anchored,mappingpiracy
1993-03-01,"NA",50.5833,8.9333333,"NA",Somalia,SOM,SOM,9.939720779769596,50.494883660000085,8.951971747000073,"NA",Somalian Glory,"NA","NA",mappingpiracy
1993-03-03,"NA",120.4667,25.4333333,"NA",Taiwan Sea,CHN,CHN,61.08917381500073,119.87452233200008,25.556789455000057,"NA",Mv Tulsidas,"NA","NA",mappingpiracy
1993-03-05,"NA",120.0667,17.6,"NA",Hong Kong - Luzon - Hainan,PHL,PHL,28.76509066756926,120.33383222700002,17.556382554000038,"NA",Mv Zirje,"NA","NA",mappingpiracy
1993-03-06,"NA",98.7167,3.8,"NA",Straits of Malacca-Indonesia,IDN,IDN,0.793892443815096,98.71062259200005,3.8037783870000794,"NA",Mv Kavo Sidero,"NA","NA",mappingpiracy
1993-03-19,"NA",122.7667,37.2833333,"NA",East China Sea,CHN,CHN,12.774793237699964,122.67896569100003,37.374660549000055,"NA",Mv Sibirskiy 2114,"NA","NA",mappingpiracy
1993-03-21,"NA",115.25,19.67,"NA",SW of Hong Kong. Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.044867255000042,"NA",M69204Y,"NA","NA",mappingpiracy
1993-03-21,"NA",109.5,15,"NA",South China Sea,VNM,VNM,54.138364991579714,109.08082116000003,14.72947825700004,"NA",Mt Suci,"NA","NA",mappingpiracy
1993-03-23,"NA",105.85,3.8166667,"NA",South China Sea,IDN,IDN,68.73987072071623,106.27084394600007,3.3609886740000547,"NA",Mv Kurama,"NA","NA",mappingpiracy
1993-03-23,"NA",124.3333,26.75,"NA",East China Sea,"NA","NA",97.18674872683712,124.5668237640001,25.89842357000009,"NA",Mv Vsip Pyatnitskiy,"NA","NA",mappingpiracy
1993-03-24,"NA",-43.1667,-22.8933333,"NA","Anchorage, Rio de Janeiro, Brazil",BRA,BRA,0.53913985225232,-43.162098761999914,-22.895684502999927,"NA",Mv Santos Express,"NA",Anchored,mappingpiracy
1993-04-02,"NA",121.7766,38.7931,"NA",30 miles East of Waglan. Hong Kong - Luzon - Hainan,CHN,CHN,10.427624572622124,121.69629967500009,38.862941799000055,"NA",Mv Bunga Terasek,"NA","NA",mappingpiracy
1993-04-04,"NA",123.8,22.7333333,"NA",Hong Kong - Luzon - Hainan,JPN,JPN,168.82713814967636,123.85124759200005,24.256984768000052,"NA",Mv Pernas Proton,"NA","NA",mappingpiracy
1993-04-04,"NA",115.6667,22.3333333,"NA",Hong Kong - Luzon - Hainan,CHN,CHN,38.272811726867104,115.57521894800004,22.66833597200008,"NA",Mv Birlad,"NA","NA",mappingpiracy
1993-04-08,"NA",111.4167,12.5166667,"NA",South China Sea,VNM,VNM,211.8323817007931,109.47242272200003,12.656398830000057,"NA",Mv NL Trader,"NA","NA",mappingpiracy
1993-04-13,"NA",115.25,19.67,"NA",Hong Kong Harbour. Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.044867255000042,"NA",MV Baltimar Neptune,"NA","NA",mappingpiracy
1993-04-17,"NA",115.6167,17.6333333,"NA",Hong Kong - Luzon - Hainan,CHN,TWN,324.79292481988983,112.73682701900009,16.660223700000074,"NA",MV Sun Kung No. 8,"NA","NA",mappingpiracy
1993-04-22,"NA",117.35,20.3,"NA",Hong Kong - Luzon - Hainan,CHN,TWN,305.3620369727799,116.494687913,22.93935241300005,"NA",MV OOCL Beacon,"NA","NA",mappingpiracy
1993-04-22,"NA",98.6767,3.7766667,"NA",Belawan Port. Straits of Malacca-Indonesia,IDN,IDN,4.815190418867126,98.71062259200005,3.8037783870000794,"NA",Mv Magic Lady,"NA","NA",mappingpiracy
1993-04-22,"NA",116.0833,19.4,"NA",Hong Kong - Luzon - Hainan,CHN,TWN,346.61626883761284,114.30250084700003,22.044867255000042,"NA",MV Salud Ace,"NA","NA",mappingpiracy
1993-04-23,"NA",116.7833,21.1666667,"NA",Hong Kong - Luzon - Hainan,CHN,TWN,196.9697334366181,116.09568990500009,22.825900457000046,"NA",Bukhta,"NA","NA",mappingpiracy
1993-04-23,"NA",117.5,20.8,"NA",Hong Kong - Luzon - Hainan,CHN,TWN,258.66988454100385,116.494687913,22.93935241300005,"NA",Mv Old Sea Beacon,"NA","NA",mappingpiracy
1993-04-29,"NA",126.0333,28.85,"NA",East China Sea,JPN,JPN,241.21750851419765,128.229828321,27.868963934000078,"NA",MT President,"NA","NA",mappingpiracy
1993-04-29,"NA",114.1833,17.926,"NA",300 miles South of Hong Kong. Hong Kong - Luzon - Hainan,CHN,CHN,207.85426091895985,112.73340905000009,16.666083075000074,"NA",Mv Zhongshan,"NA","NA",mappingpiracy
1993-05-02,"NA",124.95,35.2333333,"NA",East China Sea,KOR,KOR,73.42519402861082,125.42123457100001,34.69708893400008,"NA",Mv Konstantin,"NA","NA",mappingpiracy
1993-05-03,"NA",120.05,17.3,"NA",South China Sea,PHL,PHL,38.16391116043455,120.40821373800009,17.322699286000045,"NA","NA","NA","NA",mappingpiracy
1993-05-04,"NA",115.984,19.3123,"NA",235 miles SE of Hong Kong. Hong Kong - Luzon - Hainan,CHN,TWN,349.5862663424488,114.30250084700003,22.044867255000042,"NA",Mv Tricolor Star III,"NA","NA",mappingpiracy
1993-05-04,"NA",123.85,35.7833333,"NA",East China Sea,CHN,KOR,172.48632608298792,122.51734459700003,36.90314362200007,"NA",Mv Komsomlskaya Smena,"NA","NA",mappingpiracy
1993-05-17,"NA",3.3767,6.45,"NA","16 miles South of Lagos, Nigeria",NGA,NGA,0.7458489210053331,3.373871290000068,6.456122137000079,"NA",Mt Petrobulk Panther,"NA","NA",mappingpiracy
1993-05-19,"NA",106,-5.95,"NA","Alongside Prointal Jetty, Indonesia",IDN,IDN,3.5807008364427237,105.99724368600005,-5.917738539999959,"NA",Maersk Sussex,"NA","NA",mappingpiracy
1993-05-24,"NA",100.1667,3.5,"NA",Straits of Malacca-Indonesia,IDN,IDN,58.18179192017877,99.75074303500003,3.180487372000073,"NA",Mv Star Lily,"NA","NA",mappingpiracy
1993-05-25,"NA",108.7167,-5.7833333,"NA",Java Sea,IDN,IDN,64.6490793806986,108.36026907700005,-6.246400944999948,"NA",Mt Timur Mercury,"NA","NA",mappingpiracy
